Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude,Acreage,Garage,Parking,Fireplace,Waterfront,Pool,Garden,Balcony,neighbourhood_Downtown,neighbourhood_Dunbar-Southlands,neighbourhood_Fairview,neighbourhood_Grandview-Woodland,neighbourhood_Hastings-Sunrise,neighbourhood_Kensington-Cedar Cottage,neighbourhood_Kerrisdale,neighbourhood_Killarney,neighbourhood_Kitsilano,neighbourhood_Marpole,neighbourhood_Mount Pleasant,neighbourhood_Oakridge,neighbourhood_Renfrew-Collingwood,neighbourhood_Riley Park,neighbourhood_Shaughnessy,neighbourhood_South Cambie,neighbourhood_Strathcona,neighbourhood_Sunset,neighbourhood_Victoria-Fraserview,neighbourhood_West End,neighbourhood_West Point Grey
3600000.0,2.0,2.0,2312.0,49.2780963,-123.1156255,0.0,1,1,1,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1079000.0,3.0,3.0,1833.0,49.2192676,-123.0252844,0.0,1,0,1,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
868000.0,2.0,1.0,827.0,49.2680431,-123.1648229,0.0,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
759900.0,1.0,1.0,858.0,49.261496,-123.1421605,0.0,1,1,1,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
595000.0,1.0,1.0,485.0,49.2769028,-123.0686168,0.0,1,1,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1649900.0,3.0,3.0,1397.0,49.2569112,-123.0809007,0.0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1638000.0,3.0,4.0,1619.0,49.238304,-123.0784498,0.0,1,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1598000.0,3.0,4.0,1512.0,49.238304,-123.0784498,0.0,1,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3998000.0,4.0,2.0,2350.0,49.230233,-123.1489728,0.19,1,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1499900.0,3.0,3.0,1305.0,49.2264053,-123.126931,0.0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1639900.0,3.0,3.0,1317.0,49.2263097,-123.1268861,0.0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1200000.0,2.0,2.0,968.0,49.2244216,-123.1171561,0.0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
799000.0,2.0,1.0,854.0,49.2648173,-123.0953748,0.0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
4380000.0,8.0,6.0,4534.0,49.2391856,-123.1695994,0.18,1,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4288000.0,5.0,3.0,2531.0,49.2719252,-123.2110984,0.08,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1199000.0,2.0,2.0,806.0,49.2749484,-123.1140814,0.0,1,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
699000.0,2.0,1.0,617.0,49.2385963,-123.0310474,0.0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1048000.0,2.0,2.0,818.0,49.2660606,-123.1003553,0.0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
999900.0,2.0,2.0,1096.0,49.2173128,-123.1284378,0.0,1,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
860000.0,2.0,2.0,733.0,49.2102802,-123.117996,0.0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
730000.0,1.0,1.0,642.0,49.2615585,-123.1534919,0.0,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1599000.0,4.0,2.0,1691.0,49.2476583,-123.0302775,0.08,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
749900.0,1.0,1.0,592.0,49.2883523,-123.1278977,0.0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6980000.0,6.0,6.0,6129.0,49.239222,-123.1429856,0.27,1,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2998000.0,5.0,3.0,2865.0,49.255835,-123.1878412,0.09,1,0,1,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3998000.0,4.0,5.0,3246.0,49.2425855,-123.1769523,0.1,1,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1068000.0,2.0,2.0,967.0,49.2793873,-123.1085456,0.0,1,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1823999.0,5.0,3.0,2019.0,49.2598832,-123.0791624,0.09,1,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1128000.0,2.0,2.0,989.0,49.277379,-123.1324212,0.0,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1068900.0,2.0,2.0,897.0,49.2762666,-123.1289805,0.0,1,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3200000.0,3.0,2.0,1500.0,49.2451977,-123.0537775,0.08,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
799900.0,2.0,2.0,831.0,49.2814536,-123.0634082,0.0,1,1,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
959900.0,1.0,1.0,748.0,49.2714233,-123.1012924,0.0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2888000.0,5.0,3.0,2279.0,49.2630675,-123.20438,0.09,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1968000.0,6.0,3.0,2420.0,49.2387654,-123.0771996,0.08,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2249900.0,4.0,3.0,1668.0,49.2480723,-123.1173059,0.0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1999900.0,3.0,3.0,1453.0,49.2480828,-123.1180422,0.0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2299900.0,4.0,3.0,1668.0,49.2480815,-123.1179474,0.0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
699000.0,1.0,1.0,767.0,49.2901214,-123.139318,0.0,1,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
605000.0,1.0,1.0,485.0,49.2832148,-123.1165335,0.0,1,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
718000.0,1.0,1.0,721.0,49.233954,-123.1559999,0.0,1,0,1,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
920000.0,2.0,2.0,1033.0,49.2193131,-123.0385564,0.0,1,1,1,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1599900.0,4.0,2.0,1914.0,49.2326103,-123.0616247,0.07,1,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
524800.0,1.0,1.0,575.0,49.2799278,-123.1066048,0.0,1,0,1,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2699000.0,6.0,5.0,2264.0,49.2776488,-123.0288189,0.09,1,0,1,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
729000.0,1.0,1.0,555.0,49.2736185,-123.1281195,0.0,1,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1798800.0,3.0,2.0,1225.0,49.2880539,-123.1230949,0.0,1,0,1,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1438800.0,4.0,2.0,1138.0,49.2588542,-123.0655831,0.0,1,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1399900.0,3.0,3.0,1456.0,49.2518068,-123.077442,0.0,1,1,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1288000.0,3.0,3.0,1172.0,49.2090717,-123.1272117,0.0,1,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
468000.0,1.0,1.0,620.0,49.2072293,-123.1273,0.0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1228000.0,2.0,2.0,884.0,49.2805446,-123.1177465,0.0,1,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1699000.0,3.0,3.0,1594.0,49.2048921,-123.0333407,0.0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
890000.0,2.0,2.0,1175.0,49.2825246,-123.1079584,0.0,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2000000.0,3.0,2.0,1223.0,49.2758214,-123.1330423,0.0,1,1,1,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1178000.0,3.0,3.0,1581.0,49.207833,-123.0291821,0.0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1695000.0,3.0,2.0,1671.0,49.2849902,-123.0463052,0.07,1,1,1,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2599000.0,3.0,2.0,1590.0,49.2798797,-123.1373624,0.0,1,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2550000.0,3.0,4.0,1537.0,49.259606,-123.2148759,0.09,1,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
699800.0,1.0,1.0,613.0,49.2056396,-123.0286015,0.0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1079900.0,2.0,2.0,916.0,49.2616057,-123.0577622,0.0,1,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
978000.0,2.0,2.0,937.0,49.2531016,-123.12788,0.0,1,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1790000.0,2.0,3.0,1481.0,49.2567306,-123.1847534,0.0,1,1,1,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1927000.0,3.0,3.0,1314.0,49.2423174,-123.1259698,0.0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
699900.0,1.0,1.0,513.0,49.2699763,-123.1079699,0.0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
998888.0,3.0,3.0,1381.0,49.2076557,-123.0340199,0.0,1,1,1,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1990000.0,4.0,4.0,1510.0,49.2116829,-123.1375678,0.09,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1990000.0,4.0,4.0,1509.0,49.2117372,-123.1375658,0.09,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2299000.0,5.0,3.0,1398.0,49.2423174,-123.1259698,0.0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
808000.0,1.0,1.0,555.0,49.2423174,-123.1259698,0.0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
870000.0,2.0,1.0,725.0,49.2696259,-123.1085956,0.0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
899000.0,1.0,2.0,945.0,49.2805013,-123.1090803,0.0,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
829000.0,2.0,2.0,828.0,49.2698944,-123.0744333,0.0,1,1,1,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
720000.0,1.0,1.0,615.0,49.2788035,-123.130312,0.0,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
629000.0,2.0,1.0,660.0,49.276762,-123.1283175,0.0,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
788000.0,2.0,1.0,755.0,49.2670877,-123.1132334,0.0,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
675000.0,1.0,1.0,558.0,49.2650635,-123.0995756,0.0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1150000.0,2.0,2.0,989.0,49.2803196,-123.1197318,0.0,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
499000.0,2.0,1.0,890.0,49.2317085,-123.1216699,0.0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
499900.0,1.0,1.0,443.0,49.2456542,-123.1148136,0.0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2499999.0,3.0,2.0,2337.0,49.2155139,-123.0531192,0.19,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1699000.0,5.0,2.0,1876.0,49.2277091,-123.0954772,0.09,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
725000.0,2.0,1.0,800.0,49.262105,-123.0825102,0.0,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
309000.0,1.0,1.0,593.0,49.2581718,-123.1043783,0.0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
860000.0,1.0,1.0,800.0,49.2443575,-123.1526641,0.0,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
615000.0,1.0,1.0,508.0,49.2761754,-123.115577,0.0,1,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1750000.0,5.0,3.0,2069.0,49.2199714,-123.0576965,0.08,1,1,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1638000.0,2.0,3.0,1139.0,49.2479514,-123.1215527,0.0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1998000.0,2.0,2.0,1212.0,49.2470343,-123.1849871,0.0,1,1,1,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3099000.0,6.0,6.0,2224.0,49.2768618,-123.0541897,0.08,1,0,1,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
599000.0,2.0,1.0,856.0,49.2626395,-123.055134,0.0,1,1,1,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
614800.0,1.0,1.0,588.0,49.2770552,-123.1250401,0.0,1,1,1,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1849900.0,4.0,4.0,1582.0,49.2604688,-123.0821578,0.09,1,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
4450000.0,4.0,5.0,2419.0,49.2558103,-123.1799666,0.09,1,1,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
699000.0,1.0,1.0,628.0,49.2795513,-123.1193972,0.0,1,1,1,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
958000.0,2.0,2.0,967.0,49.2579965,-123.1236305,0.0,1,1,1,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2468000.0,3.0,4.0,1517.0,49.2517071,-123.1889779,0.09,1,0,1,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5680000.0,7.0,7.0,4959.0,49.2229005,-123.1248264,0.19,1,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
950000.0,2.0,2.0,930.0,49.2770193,-123.1297349,0.0,1,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
